id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
505101,https://www.airbnb.com/rooms/505101,20231210055146,2023-12-10,city scrape,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 2 baths,,"It is close to everything. Older neighborhood with mature trees, I think it is one of the nicest avenues in Bozeman.<br />*Lots of construction in the neighborhood summer of 2023 road North of our block, and house next door is being renovated.",https://a0.muscache.com/pictures/6561696/fd37ec8a_original.jpg,2490712,https://www.airbnb.com/users/show/2490712,Stacie,2012-05-29,"Bozeman, MT", I love my home and love sharing it. ,within a few hours,100%,100%,t,https://a0.muscache.com/im/pictures/user/c408e566-8584-4825-bb2f-5009d19259c4.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/c408e566-8584-4825-bb2f-5009d19259c4.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bozeman, Montana, United States",Bozeman,,45.67934,-111.04756,Entire home,Entire home/apt,4,,2 baths,,2,[],$160.00,3,14,3,3,14,14,3.0,14.0,,t,0,0,0,0,2023-12-10,234,33,1,2012-09-03,2023-11-18,4.97,4.95,4.97,4.99,4.98,4.98,4.9,,f,1,1,0,0,1.71
1913774,https://www.airbnb.com/rooms/1913774,20231210055146,2023-12-10,city scrape,Guesthouse in Bozeman · ★4.97 · 1 bedroom · 1 bed · 1 bath,,,https://a0.muscache.com/pictures/9048a384-f2a5-408c-9f89-c2a9f9f87381.jpg,9892898,https://www.airbnb.com/users/show/9892898,Brian,2013-11-08,"Bozeman, MT","I'm a born and raised Montanan. I've done some traveling around the world and I just couldn't leave ""The Last Best Place"". I am a designer at A&E Design, a local Architecture and Design Firm. 

I live in the main house of the property with my black lab mix 'River'.  We spend a lot of our time outside on the river, slopes, hunting, camping, or hanging out in Historic Downtown Bozeman. 

We look forward to accommodating you and your adventure to this great town.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/0c0127f3-b094-4e00-9475-856b88234808.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/0c0127f3-b094-4e00-9475-856b88234808.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone', 'work_email']",t,t,,Bozeman,,45.68422,-111.03839,Entire guesthouse,Entire home/apt,2,,1 bath,,1,[],$139.00,3,1125,2,3,1125,1125,2.7,1125.0,,t,0,0,0,0,2023-12-10,454,74,3,2013-11-22,2023-12-02,4.97,4.98,4.96,4.99,4.99,4.92,4.94,,f,1,1,0,0,3.71
1950545,https://www.airbnb.com/rooms/1950545,20231210055146,2023-12-10,city scrape,Home in Bozeman · ★4.74 · 1 bedroom · 2 beds · 1.5 baths,,"This is a great neighborhood - it's a nice, short, walk to downtown or a number of neighborhood attractions such as an excellent Italian bakery and coffee shop.  Great atmosphere and high quality offerings!",https://a0.muscache.com/pictures/prohost-api/Hosting-1950545/original/7bb592c9-fd9a-4425-ad37-ebb956a93a4b.jpeg,8224408,https://www.airbnb.com/users/show/8224408,Paul,2013-08-17,"Bozeman, MT","I started Bozeman Cottage Vacation Rentals in 1998 which has now grown to 17 properties, mostly within walking distance from downtown Bozeman. I also work in renewable energy - solar thermal, permaculture, electric bikes, and biofuels - and strive to keep Bozeman Cottage low impact.  I stock the houses with non-toxic body products and cleaners, and are as efficient as possible with heating and cooling.  I also run a bicycle rental business so you can easily and affordably see Bozeman on 2-wheels!

Note: I manage a few different guest houses and reviews are shown collectively for all places. The few reservations that had to be cancelled over the years were mostly due to date conflicts when calendars failed to update automatically. The July 2016 reservation was cancelled when the guests revealed that they had two cats after using autobook, for which Airbnb charged me 100, so unfortunately I no longer use autobook.",within an hour,100%,100%,t,https://a0.muscache.com/im/pictures/user/f9efc11c-1d61-4d59-9536-629dd2ddd084.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f9efc11c-1d61-4d59-9536-629dd2ddd084.jpg?aki_policy=profile_x_medium,,24,36,"['email', 'phone']",t,t,"Bozeman, Montana, United States",Bozeman,,45.68563,-111.03118,Entire home,Entire home/apt,4,,1.5 baths,,2,[],$198.00,3,30,4,7,30,30,4.9,30.0,,t,30,53,75,332,2023-12-10,35,2,0,2014-05-27,2023-09-02,4.74,4.89,4.8,4.94,4.97,4.97,4.68,,f,22,22,0,0,0.30
2390321,https://www.airbnb.com/rooms/2390321,20231210055146,2023-12-10,city scrape,Rental unit in Bozeman · ★4.95 · 1 bedroom · 1 bed · 1 bath,,"I love that it is 2 blocks from the heart of downtown Bozeman where you will find a wonderful assortment of shops, restaurants, the city library, walking trails, and a park. A walking trail start just 1 block south that will take you by fields, wooded areas, creeks, and  a duck pond.  It is four blocks to the city library and one block to Bogert Park and the outdoor city pool.  Being a native of this area, I will be able to help you match your preferences regarding restaurants, activities, etc. to the huge array of options.  <br /><br />Bozeman and the surrounding area has so much to offer:  1.5 hours to Yellowstone Park, unending hiking and cross country ski trails, two top notch downhill ski areas with a total of 24 lifts and 222 named runs, world class fishing, golfing, everything from amazing sushi to one of the best steaks you will ever eat, great little shops with unique items, amazing chocolates and caramels made locally, the best shoe store ever, majestic mountains all around a",https://a0.muscache.com/pictures/31808170/767c0192_original.jpg,7849959,https://www.airbnb.com/users/show/7849959,Irene,2013-07-31,"Bozeman, MT","I have lived in or near Bozeman all of my life.  I purchased this home several years ago and raised my three children here and now that they are off on their own adventures, I would love to share this home with you and all this amazing area has to offer.",within an hour,100%,100%,f,https://a0.muscache.com/im/users/7849959/profile_pic/1392311847/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/7849959/profile_pic/1392311847/original.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,f,"Bozeman, Montana, United States",Bozeman,,45.67434,-111.0333,Entire rental unit,Entire home/apt,2,,1 bath,,1,[],$150.00,3,3,3,3,3,3,3.0,3.0,,t,27,54,81,170,2023-12-10,44,4,1,2016-05-09,2023-11-12,4.95,5.0,5.0,5.0,4.98,5.0,4.7,,t,2,2,0,0,0.48
2536175,https://www.airbnb.com/rooms/2536175,20231210055146,2023-12-10,city scrape,Home in Bozeman · ★4.77 · 3 bedrooms · 3 beds · 2 baths,,"Great neighborhood, close to parks, campus, great restaurants and bars! Quiet, yet centrally located. If you're planning on staying in town there is no need to rent a car.",https://a0.muscache.com/pictures/85225380/273d21ea_original.jpg,8287259,https://www.airbnb.com/users/show/8287259,Kris And Alex,2013-08-20,"Livingston, MT","We have been traveling with Airbnb for the past 6 years and have been hosts ourselves for the past 4. We love the experience of staying in a home and getting familiar with a neighborhood when we travel and we are happy to pass that experience along to our guests. 
We reside in Livingston, Montana where we spend our free time floating the rivers, fishing and camping in the summers and skiing at nearby Bridger Bowl in the winter. 
We prefer our privacy and independence when we travel but are always open to local tips and suggestions and we are happy to give you the same when you come to Montana.
We are both local business owners who have a combined 30+ years in the area. We are more than happy to share any knowledge of the area that we have with you. Please ask!  ",within an hour,100%,97%,f,https://a0.muscache.com/im/pictures/user/9fc2f024-55fa-4a30-9d0c-8bf1afb012e2.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/9fc2f024-55fa-4a30-9d0c-8bf1afb012e2.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Bozeman, Montana, United States",Bozeman,,45.66473,-111.03977,Entire home,Entire home/apt,6,,2 baths,,3,[],$160.00,3,31,3,3,31,31,3.0,31.0,,t,0,0,0,0,2023-12-10,271,33,3,2014-07-01,2023-11-25,4.77,4.87,4.75,4.91,4.83,4.88,4.72,,f,1,1,0,0,2.36
2839082,https://www.airbnb.com/rooms/2839082,20231210055146,2023-12-10,city scrape,Home in Bozeman · ★4.97 · 2 bedrooms · 2 beds · 1 bath,,"Walking distance to downtown, Petes hill, Bogart park farmers market and ice rink. Both Koch and Lindley are not through streets making this quite but still in the heart of downtown. Wonderful neighbors with a true sense of community",https://a0.muscache.com/pictures/61289180-8ba0-4dcb-8800-f81712c5dd58.jpg,1577112,https://www.airbnb.com/users/show/1577112,Zack,2012-01-07,"Bozeman, MT","I'm originally from Colorado and calling Bozeman Montana my home for the last 16 years.  My passions are skiing, fishing, camping, biking, live music and anything outdoors.  I am happy to share my home with respectful guest. The community here is amazing and I hope you get a taste of the quite, old bozeman.  I hope the location and space of my house serves as a home base for your time in Montana. ",N/A,N/A,67%,f,https://a0.muscache.com/im/pictures/user/ca568c93-83e7-4de2-970f-5cb184fc2cec.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/ca568c93-83e7-4de2-970f-5cb184fc2cec.jpg?aki_policy=profile_x_medium,,1,1,"['email', 'phone']",t,t,"Bozeman, Montana, United States",Bozeman,,45.6757,-111.03284,Entire home,Entire home/apt,4,,1 bath,,2,[],$650.00,3,55,3,3,55,55,3.0,55.0,,t,0,0,0,0,2023-12-10,66,3,0,2015-12-16,2023-08-22,4.97,4.94,4.99,4.98,5.0,5.0,4.73,,f,1,1,0,0,0.68
2968623,https://www.airbnb.com/rooms/2968623,20231210055146,2023-12-10,city scrape,Guesthouse in Bozeman · ★4.94 · 1 bedroom · 1 bed · 1 bath,,"At the cottage you are a few blocks from MSU campus, Joe's Parkway Grocery, Pickle Barrel sandwiches AND Ice Cream shop, 2 coffee shops, and the AWESOME Columbo Pizza place. Neighborhood parks - Cooper Park and Southside Park- are also a few blocks away.",https://a0.muscache.com/pictures/miso/Hosting-2968623/original/4ff94439-0639-42a4-821f-524006c1116e.jpeg,15146634,https://www.airbnb.com/users/show/15146634,Frances,2014-05-05,"Bozeman, MT","I am a mother of 2 who enjoys to cook and play outside. I love my neighborhood and would not want to live anywhere else in Bozeman- and trust me I have looked but this is the place for me! 
Both my husband and I are from the East coast and travel back as often as possible. 
I love the warm season here and my husband loves the cold-you will get plenty of input from us if you need suggestions on what to do. ",within an hour,100%,77%,t,https://a0.muscache.com/im/pictures/user/f58665cd-b17c-4580-9b1a-c2ac4e4b4c83.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/f58665cd-b17c-4580-9b1a-c2ac4e4b4c83.jpg?aki_policy=profile_x_medium,,2,2,"['email', 'phone']",t,t,"Bozeman, Montana, United States",Bozeman,,45.67241,-111.04913,Entire guesthouse,Entire home/apt,4,,1 bath,,1,[],$125.00,2,1125,2,2,1125,1125,2.0,1125.0,,t,9,33,33,93,2023-12-10,175,11,0,2015-07-22,2023-10-23,4.94,4.94,4.82,4.98,4.98,4.94,4.88,,f,1,1,0,0,1.71
3372306,https://www.airbnb.com/rooms/3372306,20231210055146,2023-12-10,city scrape,Home in Bozeman · ★4.88 · 2 bedrooms · 2 beds · 1 bath,,"Great location! Only a few blocks walking distance to Main Street. I'd be happy to give you restaurant, bar and cafe recommendations. Bridger Bowl ski resort is 15 miles up the road, and Big Sky ski resort is about an hour away. Lots of hiking, biking and rivers to enjoy around Bozeman. The north entrance to Yellowstone National Park is around 1 1/2 hours away.",https://a0.muscache.com/pictures/miso/Hosting-3372306/original/d4d26f47-c4f6-4bda-9b6d-0e35e5a48dd7.jpeg,190138,https://www.airbnb.com/users/show/190138,Anna,2010-08-03,"San Francisco, CA","Avid cyclist, horse rider and skier. Favorite travel destinations: Costa Rica, Scandinavia, France, Italy, and the Rocky Mountains. ",N/A,N/A,100%,f,https://a0.muscache.com/im/users/190138/profile_pic/1403222766/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/190138/profile_pic/1403222766/original.jpg?aki_policy=profile_x_medium,Ashbury Heights,2,3,"['email', 'phone']",t,t,"Bozeman, Montana, United States",Bozeman,,45.68444,-111.04357,Entire home,Entire home/apt,4,,1 bath,,2,[],$199.00,30,1125,28,30,1125,1125,29.8,1125.0,,t,0,0,0,213,2023-12-10,67,0,0,2014-09-13,2019-05-27,4.88,4.99,4.91,4.95,4.97,4.97,4.88,,f,1,1,0,0,0.60
4008507,https://www.airbnb.com/rooms/4008507,20231210055146,2023-12-10,city scrape,Guest suite in Bozeman · ★4.99 · 1 bedroom · 2 beds · 1 bath,,"The Southside of Bozeman is the main historic district. It is composed of safe, and friendly neighborhoods lined with mature trees, and an eclectic array of architecture. From our home, it is only a few minute walk to MSU, a short bike ride or walk to the historic downtown. And just two blocks from our home is Bozeman's Southside Park, with a play ground for kids, plus tennis/pickle ball courts, and in the winter,  an ice skating rink.",https://a0.muscache.com/pictures/50407833/6450630b_original.jpg,20738079,https://www.airbnb.com/users/show/20738079,Lori,2014-08-30,"Bozeman, MT","We found our home with a promise of rhubarb pies . . . 

Here is the back story to that rather strange sounding statement. My husband is from Alaska but went to dental school in San Francisco, where we met. He knew he had to get back to the mountains - so we spent the late 1990's searching for our ""forever"" college/mountain town. Our first visit to Bozeman and we knew it would be our future community - but the search for the ""forever"" home proved more difficult. 

Eventually, we placed notes on the doors of our favorite Bozeman homes, promising 20 years of rhubarb pies to anyone who led us to our forever home. Jane, the sweet grandmother who owned this 1920's  former sorority house responded, saying she had a rhubarb plant in the backyard and wanted to sell to a young family who would take good care of the place - and the rest is history. 

The summer of 2020 we will deliver our 20th rhubarb pie to Jane! 

Here are a few other details you might want to know about your potential host (Website hidden by Airbnb) taught culture related courses (e.g. ""The Cultural Dimensions of International Business"" & ""Film, Photos & Culture: A Global Perspective"") at Montana State University for about 15 years until I retired in 2020. My husband, Scott, daughter, Sumner and I were part-time ski instructors at Big Sky in the past, but now just ski for fun.

Scott is an avid bike rider, and even completed the 2,500+ mile ""Great Divide Mountain Bike Ride"" in the fall of 2016. Which means he rode from Banff, Canada to Mexico, on a mountain bike. He did it over a series of week-long segments - camping out along the way. When he is not riding he works doing dentistry here in Bozeman. 

Sumner studied ""Global Health & Education"" at Colorado College, and graduated in 2018. She nordic and Alpine skis, runs and climbs and is now in medical school at the University of Washington. 

Sumner's pup, Magnolia is a Bernedoodle. She is very friendly - but a bit shy at first.  She might bark - and also wag her tail - the 1st time she see's you but once you've been introduced she warms up quickly.

We are looking forward to hosting you, and hope you have a great experience here in Bozeman! ",within an hour,100%,100%,t,https://a0.muscache.com/im/users/20738079/profile_pic/1434177122/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/20738079/profile_pic/1434177122/original.jpg?aki_policy=profile_x_medium,,1,2,"['email', 'phone', 'work_email']",t,t,"Bozeman, Montana, United States",Bozeman,,45.66932,-111.04256,Entire guest suite,Entire home/apt,3,,1 bath,,2,[],$194.00,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,2023-12-10,223,46,2,2015-06-14,2023-12-03,4.99,5.0,4.97,5.0,4.99,5.0,4.94,,f,1,1,0,0,2.16
4116964,https://www.airbnb.com/rooms/4116964,20231210055146,2023-12-10,city scrape,Home in Bozeman · ★4.86 · 1 bedroom · 2 beds · 1 private bath,,"Our house is surrounded by some great trails that hook up with fun xc skiing courses and also great for biking, walking and running. <br />-Great views. <br />-Our neighborhood is affectionately called the “Tree Streets” where most of the trees are bigger than the homes.",https://a0.muscache.com/pictures/51756766/cbf3caa7_original.jpg,7722453,https://www.airbnb.com/users/show/7722453,Rachel,2013-07-25,"Bozeman, MT","I’ve been enjoying the MAGICAL 
outdoors from the mountains to the ocean all of my life. 

Bozeman usually has beautiful weather, with too many summer activities to list from biking hiking kitesurfing you name it!…winter skiing both downhill + xc are some of the best in the world. The fishing is phenomenal, the people amazingly friendly + the town of Bozeman has so much to offer..Come play in the outdoors!  Happy to make some great suggestions!",N/A,N/A,100%,t,https://a0.muscache.com/im/pictures/user/User-7722453/original/049e9f5d-b968-485b-be3c-de0dc93eb321.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User-7722453/original/049e9f5d-b968-485b-be3c-de0dc93eb321.jpeg?aki_policy=profile_x_medium,,3,6,"['email', 'phone']",t,t,"Bozeman, Montana, United States",Bozeman,,45.65921,-111.01598,Private room in home,Private room,1,,1 private bath,,2,[],$91.00,5,20,5,5,1125,1125,5.0,1125.0,,t,30,60,89,89,2023-12-10,70,2,0,2014-10-08,2023-05-31,4.86,4.94,4.91,4.9,4.87,4.97,4.9,,f,3,1,2,0,0.63
